ISTILAH	KEPANJANGAN	PENGERTIAN	DEPARTEMEN	CARA PERHITUNGAN DAN KETERANGAN LAINNYA ( JIKA ADA)																			
CBU	Completely Build Up	Mobil yang di import utuh	umum																				
CCRP	Customer Complaint Resolution Process	Solusi yang diberikan sebagai respon dari adanya keluhan customer	Service																				
CDD	Customer Due Diligence	Momentum untuk saling mengenal untuk mencapai kesepakatan dengan customer	Sales																				
CEO	Chief Executive Officer	Salah satu jabatan di ACC	HC OD																				
CF	Consumer Finance	Salah satu jenis sewa guna usaha	Sales																				
CG	Corporate Guarantee	Pengikatan perusahaan terhadap kontrak pembiayaan	Fleet																				
CH	Collection Head		AR																				
Champion Club		Program awarding tahunan untuk sales dan AR ACC	umum																				
Channel Expansion		planning perluasan cabang dan akses poin ACC	Marketing Planning & Control																				
Character		Reputasi debitur, pengalaman, dan nilai-nilai etika yang menggambarkan watak dan itikad debitur	Underwriting																				
Chasis		Kerangka Kendaraan	Underwriting																				
Checklist		Pengecekan list	AR																				
CHOSIT 		Form yang digunakan untuk simulasi hitungan kredit 	Sales																				
Cigna		Suatu perusahaan asuransi jiwa yang bekerjasama dengan ACC	Underwriting																				
CIS	Customer Intimacy System	sistem telemarketing dimana isinya data customer yg sudah pre approved untuk ditawarkan dana tunai	Sales																				
Citrix		Aplikasi yang di gunakan untuk penunjang bisnis ACC	AR																				
CKD	Completely Knock Down	Mobil yang di import terurai dan dirakit di dalam negri	umum																				
Class Assigment		Pembagian kelas customer di deskcoll berdasarkan overdue 	AR																				
CLOSE		status kontrak yang sudah selesai dengan pembayaran hingga akhir tenor	AR																				
Closing		Aktivitas tutup buku di cabang dimana mengukur bagaimana achievement yang telah dilakukan selama satu bulan.	umum																				
